Organisation,Exact_Date,Country,Industry,Org_URL,Leak_Type,Ransom_URL,Description,Pub_Date,Ransom_Group,Org_Revenue,Leak_Size,Message
DC Solutions,27/03/2022 18:04:30,NA,NA,Org_URL,Financial Records|Employee Data|Communication Records,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/4d382ca9-c8cb-4af2-a533-d543460ad0c1,NA,10/12/54204,BlackCat,NA,NA,NA
VOYAGER DISTRIBUTING COMPANY PTY. LTD.,25/03/2022 18:38:44,Australia,Retail,NA,NA,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/239af4e2-048a-4e3e-8340-af99ed336f27,NA,12/07/54199,BlackCat,NA,NA,NA
