Organisation,Org_URL,Country,Pub_Date,Leak_Type,Description,Ransom_URL,Ransom_Group,Views,Leak_Size,Org_Revenue,Percentage_Leaked
BEESENSE,https://beesense-sys.com/,NA,04/08/2022,NA,"-Source code of SERAPHIM, Harhony, iVMS-4200, and etc. - Software for echolocation equipment, for CCTV, for maps - Softwares, software, projects, equipment drawings: Bee3 Bee5 Compact & sophisticated day & night, dual-sensor surveillance system FireFly 500 FireFly Mantis 3 Stand-off radar- integrated surveillance - and other - Working cards with sensors installed - SQL, xmpp, JIRA, HASHREP, Tamal, synel - WhatsApp messages, emails, internal chat - Financial documents: sales, contracts, annual reports, expense planning, payroll, bookkeeping - Purchasing and sales information (collaboration) with many countries - Personal documents for employees: resumes, employment contracts, contracts, document scans. - A lot of research software",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/beesense,Quantum Blog,202.0k,1.3TB,$5 Million,100% (full dump)
Broshuis | Driving innovation,http://www.broshuis.com,NA,18/07/2022,NA,"Employees data, customer data, Financial Data, HR Data",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/broshuisdrivinginnovation,Quantum Blog,219.1k,117GB,$59M,100% (full dump)
ZEUS Scientific,https://www.zeusscientific.com/,NA,29/06/2022,NA,Description Dates:,http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/zeusscientific,Quantum Blog,225.7k,540GB,$25M,0% (announcement)
Shred Station,https://www.shredstation.co.uk/,NA,14/06/2022,NA,"Customer Data, HR Data, Employees Data, Financials",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/shredstation,Quantum Blog,260.2k,47GB,$6M,100% (full dump)
Florida Department of Veterans' Affairs,https://www.floridavets.org/,NA,27/05/2022,NA,"All possible data: veterans data, employees data, financial data, HR data, contracts with suppliers, tax and ssn data and so on",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/floridadepartmentofveteransaffairs,Quantum Blog,283.5k,1.1TB,$242M,0% (announcement)
Valley Rentals,http://www.valleyrentals.com,NA,29/04/2022,NA,"employee and customers personal data with SSN and full address, DL , financial documents, client documents, contracts, invoices, statements, insurance documents",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/valleyrentals,Quantum Blog,320.2k,120GB,$6M,5% (partial dump)
Drive Products,https://driveproducts.com/,NA,29/04/2022,NA,"Personal Data, Finanacial Data, Partner Data, HR data",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/driveproducts,Quantum Blog,320.8k,500GB,$263M,100% (full dump)
Tehama County Social Services,http://www.tcdss.org,NA,28/04/2022,NA,"Financial information, budgets, fiscal docs, contracts, HR data, resumes, payrolls, clients personal data, scans ID, scans SSN, personal info, scans certificates, incident reports, COVID vaccine cards, personal medical information, death lists, criminal record documents, Protective Custody Removal Warrants, many working documents, confidential documents, birth certificates, medication lists, children documents, court reports, client base with addresses and phones, MEDS program access, insurance documents",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/tehamacountysocialservices,Quantum Blog,308.0k,32GB,$50M,100% (full dump)
Camden City School District,https://camdencityschools.org/,NA,20/04/2022,NA,Lots of student and employees personal data,http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/camdencityschooldistrict,Quantum Blog,332.6k,200GB,$367M,100% (full dump)
JetStar,https://www.jetstar.com,NA,11/04/2022,NA,"Financial Data, HR Data, Employees Data including Payroll, Personal data for majority of employees, Customer data.",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/jetstar,Quantum Blog,349.8k,43GB,$2B,0% (announcement)
InfoTek Consulting Services,http://www.infotek-consulting.com,NA,28/02/2022,NA,"Personal data - scans of ID, DL, W9 and other tax forms, employee contracts, a lot of resumes (background, phone numbers, addresses and other personal data), accounting and financial internal information, bank information, budgets, signed documents, insurance documents, management data, contracts with clients, contracts with companies. We also have a bonus data from",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/infotekconsultingservices,Quantum Blog,410.3k,11G,$25M,100% (full dump)
Maple Lodge Farms,https://maplelodgefarms.com,NA,31/01/2022,NA,"Documents: Financial information, reports, contracts",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/maplelodgefarms,Quantum Blog,444.1k,300GB,800M,0% (announcement)
"Midland Cogeneration Venture, Michigan",https://www.capitalpower.com/operations/midland/,NA,11/10/2022,NA,"Midland Cogeneration Venture is the largest natural gas-fired combined electrical energy and steam energy generating plant in the United States of America. The facility is a major supplier of electrical energy to customers in Michigan and the midcontinent, and a supplier of bulk process steam energy to nearby chemical production companies. In 2022, Capital Power partnered with Manulife Investment Management to acquire the facility and is responsible for the operations and maintenance of the facility.",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/midlandcogenerationventuremichigan,Quantum Blog,107.2k,150GB,1B,100% (full dump)
Avante Health Solutions,https://avantehs.com,NA,23/08/2022,NA,"Financial Data, Customer Data, HR Data, Employees Data, etc",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/avantehealthsolutions,Quantum Blog,245.4k,90GB,$28M,5% (partial dump)
ChemiFlex,https://www.chemiflex.com/,NA,19/08/2022,NA,"For over 40 years, Chemi-Flex has served as the leading designer and manufacturer of polyurethane timing belts, silicone timing belts, molded urethane parts",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/chemiflex,Quantum Blog,79.2k,1TB,7M,0% (announcement)
Shaw & Slavsky,http://www.shawandslavsky.com/,NA,19/08/2022,NA,"Shaw & Slavsky was founded in 1932 as a manufacturer of POP signs for grocery retailers. Since our inception, we have provided innovative signage and merchandising solutions for retailers. We have over 100,000 square feet of manufacturing capacity to build stock and custom signage and fixtures.",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/shawslavsky,Quantum Blog,193.0k,6GB,16M,0% (announcement)
"Moskowitz, Mandell & Salim, P.A.",https://www.mmsslaw.com,NA,18/08/2022,NA,"Lots of working papers, contracts, insurance documents, Client's agreements and disclosures (signed), client's accidents documents, court documents, tax returns, client personal information, scans credit cards with CVV, W9 forms with personal data, 401K forms, 1040 forms, W2 forms, W4 forms, resumes, recommendation letters, driver licenses, car insurance, medicare, medical personal information, invoices, wires, payrolls.",http://quantum445bh3gzuyilxdzs5xdepf3b7lkcupswvkryf3n7hgzpxebid.onion/target/moskowitzmandellsalimpa,Quantum Blog,191.0k,89GB,3.4M,100% (full dump)
